category,category_id,subcategory,subcategory_id,amount,year,,amount,year,year,,,,,,,,,,,
議会費,1,議会費,1-1,144100000,2013,144100000,議会費,,144100000,,,,,,,,,,,
総務費,2,総務管理費,2-1,15878000,2013,,一般管理費,,9729000,1802000,4347000,,,,,,,,,
総務費,2,,,137737000,2013,,文書広報費,,109742000,21995000,6000000,,,,,,,,,
総務費,2,,,217491000,2013,,財産管理費,,217491000,,,,,,,,,,,
総務費,2,,,974022000,2013,,企画費,,14998000,618000,16841000,830000000,105565000,6000000,,,,,,
総務費,2,,,16160000,2013,,出張所費,,16160000,,,,,,,,,,,
総務費,2,,,175868000,2013,,電子計算費,,175843000,25000,,,,,,,,,,
総務費,2,,,559074000,2013,,防災対策費,,325767000,58570000,9500000,5482000,159755000,,,,,,,
総務費,2,,,108474000,2013,2204704000,自治振興費,,25450000,75480000,7544000,,,,,,,,,
民生費,3,社会福祉費,3-1,196230000,2013,,社会福祉総務費,,80853000,20775000,94602000,,,,,,,,,
民生費,3,,,7162958000,2013,,障害者福祉費,,974104000,3615157000,7245000,619689000,62330000,103492000,88604000,17349000,230803000,1418675000,7549000,17961000
民生費,3,,,197178000,2013,,障害者福祉施設費,,197178000,,,,,,,,,,,
民生費,3,,,6372976000,2013,,老人福祉費,,114485000,2021400000,20000000,47449000,86285000,215064000,179013000,27585000,17133000,57265000,3349821000,237476000
民生費,3,,,490407000,2013,14419749000,老人福祉施設費,,225100000,28395000,142047000,92200000,2665000,,,,,,,
民生費,3,児童福祉費,3-2,98915000,2013,,児童福祉総務費,,18806000,80109000,,,,,,,,,,
民生費,3,,,13922135000,2013,,児童措置費,,10325580000,1455680000,2140875000,,,,,,,,,
民生費,3,,,371236000,2013,,母子福祉費,,225863000,104265000,41108000,,,,,,,,,
民生費,3,,,1629628000,2013,,児童福祉施設費,,5882000,232534000,17969000,5729000,251966000,941890000,79407000,20046000,74205000,,,
民生費,3,,,10696200000,2013,26718114000,保育所費,,3336846000,7165277000,194077000,,,,,,,,,
民生費,3,生活保護費,3-3,63270000,2013,,生活保護総務費,,63270000,,,,,,,,,,,
民生費,3,,,15243650000,2013,15306920000,扶助費,,15243650000,,,,,,,,,,,
衛生費,4,保険衛生費,4-1,2584875000,2013,,保険衛生総務費,,38880000,1606000000,656516000,13250000,36870000,128544000,104815000,,,,,
衛生費,4,,,1752915000,2013,,予防費,,1745155000,7760000,,,,,,,,,,
衛生費,4,,,1070003000,2013,,保険活動費,,19118000,1050885000,,,,,,,,,,
衛生費,4,,,465776000,2013,,保健施設費,,72894000,17348000,104857000,54772000,62742000,7654000,1917000,14109000,34328000,95155000,,
衛生費,4,,,118496000,2013,,看護専門学校費,,118496000,,,,,,,,,,,
衛生費,4,,,312971000,2013,,環境衛生費,,15433000,246232000,31735000,19571000,,,,,,,,
衛生費,4,,,126090000,2013,6431126000,公害防止対策費,,15435000,45872000,64783000,,,,,,,,,
衛生費,4,清掃費,4-2,703381000,2013,,塵芥収集費,,88130000,395540000,219711000,,,,,,,,,
衛生費,4,,,3648627000,2013,,塵芥処理費,,980320000,780939000,1609968000,277400000,,,,,,,,
衛生費,4,,,179970000,2013,,塵芥処理場建設費,,78567000,101403000,,,,,,,,,,
衛生費,4,,,415306000,2013,4947284000,し尿処理費,,415306000,,,,,,,,,,,
労働費,5,労働諸費,5-1,116666000,2013,,労働諸費,,4000000,15700000,2360000,70206000,24400000,,,,,,,
労働費,5,,,32700000,2013,149366000,勤労市民センター費,,32700000,,,,,,,,,,,
農林水産業費,6,農業費,6-1,153439000,2013,,農業振興費,,1632000,100743000,2146000,38198000,4922000,5798000,,,,,,
農林水産業費,6,,,3710000,2013,,畜産業費,,3710000,,,,,,,,,,,
農林水産業費,6,,,3350000,2013,160499000,農地費,,3350000,,,,,,,,,,,
農林水産業費,6,林業費,6-2,41030000,2013,41030000,林業費,,41030000,,,,,,,,,,,
農林水産業費,6,水産業費,6-3,15770000,2013,15770000,水産業費,,2754000,11499000,1517000,,,,,,,,,
農林水産業費,6,商工費,6-4,249000,2013,,商工総務費,,249000,,,,,,,,,,,
