category,category_id,subcategory,subcategory_id,amount,year
議会費,1,議会費,1-1,144100000,2013
総務費,2,総務管理費,2-1,108474000,2013
民生費,3,社会福祉費,3-1,490407000,2013
民生費,3,児童福祉費,3-2,10696200000,2013
民生費,3,生活保護費,3-3,15243650000,2013
衛生費,4,保険衛生費,4-1,126090000,2013
衛生費,4,清掃費,4-2,415306000,2013
労働費,5,労働諸費,5-1,32700000,2013
農林水産業費,6,農業費,6-1,3350000,2013
農林水産業費,6,林業費,6-2,41030000,2013
農林水産業費,6,水産業費,6-3,15770000,2013
農林水産業費,6,商工費,6-4,6770000,2013
土木費,7,道路橋りょう費,7-1,830193000,2013
土木費,7,河川費,7-2,848641000,2013
土木費,7,港湾費,7-3,18375000,2013
土木費,7,都市計画費,7-4,2090303000,2013
土木費,7,住宅費,7-5,50500000,2013
消防費,8,消防費,8-1,285453287,2013
教育費,9,教育総務費,9-1,91247000,2013
教育費,9,小学校費,9-2,1262440000,2013
教育費,9,中学校費,9-3,705610000,2013
教育費,9,高等学校費,9-4,228480000,2013
教育費,9,特別支援学校費,9-5,126000000,2013
教育費,9,社会教育費,9-6,6700000,2013
教育費,9,保健体育費,9-7,2166639000,2013
公債費,10,公債費,10-1,4250000,2013
